image_pathname,class
../datasets/animals-dataset/raw-img/cane/OIP-Ag1AiXi5hlmZz6smjLwgwAHaGl.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-1khVvX2oExW0mG6G2Y2WTwAAAA.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-STzD_1hsSX-CJmPyv7mj8QHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-PUwH3WoJURs_ACTFsBMHLwHaEL.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-NABz-3TpW9Zv4XQLzB1P5wHaHG.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-DfmSRn-2XIwjU0XsyNdiXgHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9j0jBz5wwwsg2fH_gRf_swHaFf.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-ugSBKd8y_G2Wan07pBcoiwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-8CYFYepucipN_i4VzUxJ1wAAAA.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-zeC2W1-zIInkqY3PKd83xgHaJc.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-hBendxra7_34HAab-sVW6gHaH6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-2cpY38EdkNC-t5stYHXxngHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-2TqvvojsLgxQC06Tla2saAHaEo.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-8qbfZwAqjlRK5KdHEJAjugHaHC.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-MjeyElV7umXp2I2Tarbv9AHaE8.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-O36qKre1hg--SXGZvOdA5AHaGN.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-qOsltUzWwCTSG4zl8DZLVQHaE7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-20ZN0NVCG17s4Jl-znGDGAHaLH.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-wHe99Iau9yrJ-WPlliiV0AHaD2.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-KcfF_usZZ5TxfediUQDkPQHaFs.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-ueeopVd8OELDx9oeMWB7iAHaGs.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-gxgPPeV_zRN5LSgoCFo_jQHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Mwn5SRl98GAflUrTaUJw9wHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-kYtuyke9vinMsXqLhu9YgQHaC8.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-zVBD-VpWdRFDASJFpJ1vkwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Soi1tUlkCR3kpLS5OmRyPAHaFq.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP--iPPduM2--389E1lozUz_QHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-G-l8tolxituwKhx9sgyFyAHaEX.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-hGaPLz-vaWlQZWa5ZGM48wHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-ZP0OAJ7ZBE0P0gaRRVOwNQHaH6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-SmaAvnzzJjaHP8Oibdsp9gHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-F_2updzRY8jIhJqG9B3rewHaHD.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-MMzQglycyNN-AX5fQlnOeQHaFh.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Z2FYDBGap4PO0kJCMxxxKQHaHF.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9gsGRde-jD7oaTAvfn5mAAHaIc.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-8hQP-ZGHLofJeddNVwiYhgHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-cVpz9nBDWFZhKNFvAvwQTAHaKU.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9DcS1-s-Z0Zh-cdpQFgz3wHaMW.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-aDMjHZanYG8G_ollMEB6aQHaFb.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Zmj7tNmO_c4zxzD1TSdo6gHaEo.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-RK08N3tPEObi54QnYmBLHQHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-3t9_eCd0803rLoogU0FJbQHaE6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-llRqSN0bQbt6Sak1X8wXhQHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-tihVzFf3BBgLosx6vfa1MgHaE7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-C4plQ8174gZwQUzZCKCWvQHaE8.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-cNIb_cAIERZy-4m5qm4cuAHaFi.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-7P2t9Q1nQ79yR1PV8R56qwHaGO.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-vJxE1OK6m6B3lmzl_NvCzgHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-UHlLgSLi4zNAofBwQ6nnagHaJH.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-aSFdsNb-XGZNujLo-VmE5QHaE0.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-y5Dmn9cq-O3zvhS2fJRX6AHaLH.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Jh1fh6mEjVUg3F12BPo90gHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-6RUmganQyHjzEnr_M0p9nAHaEs.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-44sufwzGD3KTq6L0bwwMbQAAAA.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-NWzvu13ABGHqUXUjz1NGswHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Ttk5VBelO982E8th6_aK0AHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-7VFfOw4iL_ksVgdtvp4mEwHaLL.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-O4QCu9R22oUj2-T0J2ktvwHaFi.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-9cTpQ9GjnczLWwIqLDhX0QHaE6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-cWHKPQj9sgSBFZ7RyVJIiAHaGW.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-So8q1Rxxc6Md6Gfn_oqgugHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-kyChHEhOHeBsUNvRQSaJPwHaGQ.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-atyHLECelAKwwr4-VyPxCgHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-GRwcL0Hteht2MPYHdoUn2gHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-bQQMd2rlAmcgjFEFAR-klQHaE7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-_u_ci-bat8x0qkW5rNlZDgHaFc.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-LoQR9oSYFGiVpy3Mo-Ka4QHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-RcSHOEBj-y4OA0VJg6wwrgHaHU.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-6fclz7wTCmEYt7I8U44duQHaE_.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-HLYz9oPkNkQ5ABExnOwBzQHaJj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-tZNCGxP7XiHCVVky3M3ODQHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-PUuYBdHTNF8xNerScasl9wHaE4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-GYlNvklIMTyya7kMpYnjzQHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-lylr9a4rVNGRRo8t193kuQHaFe.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-cT7hpDWL9gEXEKS9UhA2tAHaEK.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-RzxQYc78ePq9GkgiUyruVQHaDt.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-vpwDPsnWioXq-cFHUH0gOQHaHa.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-MqtvqUCUFlASIIc2izmkSQHaD5.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-XfHxNBvOaJr2pBrHq4S19gHaJU.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-4x3guN8L1PYW-XGZk8WzbQHaFU.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-NiMLo0xKBwT0USrWGM8VXwHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-2geIdrgZ-J42JJ7LikApVQHaEo.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-WnROEOD4ZGM2ivN2M1Ja8AHaKi.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-epK472oRMZUDvCYODku35QHaDt.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-ReyEM1RykdbqXiMilRmJmAHaFU.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-6AIl3KxbPulVJFYnZ6DWFwAAAA.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-Lyaqut4ShlYPykMgZ6BaCQHaJo.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-wmbXmjVWEDsnrFxW3VJotAHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-WhoeU4jl_9tp0UaSr9ODJgHaJ6.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-M8r9sKVYWtjq9LaniL1prgHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-pr7zVd0zyjmCSS19x8x99wHaEk.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-eBx7zkQmNG_HBXE5QPdP6QHaGx.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-liKGrDsZ-gHaKjyZ_oW-IAHaE7.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-E-IwtXrc7Wjw5xXOiJ5DSgHaE0.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-RNspOqnvKY1tqTEGlfCPSQHaJl.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-PeDuCylUL_QzFgvxRlx3uAHaE8.jpeg,dog
../datasets/animals-dataset/raw-img/cane/OIP-wHuAhutYwq1-KeKV1VRlCAHaJ6.jpeg,dog
