image_pathname,class
../datasets/animals-dataset/raw-img/cane/OIP-bTKnRAJfpOhQhD4AC4ZjZAAAAA.jpeg,dog
../datasets/animals-dataset/raw-img/gatto/841.jpeg,cat
../datasets/animals-dataset/raw-img/elefante/ea36b70c21f4023ed1584d05fb1d4e9fe777ead218ac104497f5c978a4efb4bb_640.jpg,elephant
../datasets/animals-dataset/raw-img/elefante/OIP-2QhuYtwkUOYt2PbRnG4mLgAAAA.jpeg,elephant
../datasets/animals-dataset/raw-img/scoiattolo/OIP-gBCbQ2qnTkAta18ayjhmRwAAAA.jpeg,squirrel
../datasets/animals-dataset/raw-img/gatto/309.jpeg,cat
../datasets/animals-dataset/raw-img/cavallo/OIP-_TdvP2Op3Meyz5TSlM1yFAHaFS.jpeg,horse
../datasets/animals-dataset/raw-img/ragno/OIP-jhSQUCRSOtAjiBLX6AGX6wAAAA.jpeg,spider
../datasets/animals-dataset/raw-img/gatto/1661.jpeg,cat
../datasets/animals-dataset/raw-img/cavallo/OIP-oH4JBT6ciRDeYu-vWxb1dQHaFj.jpeg,horse
../datasets/animals-dataset/raw-img/ragno/OIP-CC41xoMko_eX71QAKOW0AwHaND.jpeg,spider
../datasets/animals-dataset/raw-img/farfalla/OIP-WNb7KKNAohHYYpnqjnJibgAAAA.jpeg,butterfly
../datasets/animals-dataset/raw-img/scoiattolo/OIP-u4FdTOCQg-GZZnHWzClnYwHaFj.jpeg,squirrel
../datasets/animals-dataset/raw-img/elefante/OIP-ZVPwvKY3N2tqg00m_z92rQHaE8.jpeg,elephant
../datasets/animals-dataset/raw-img/scoiattolo/OIP-v9-r0dP8I1_HQB7BjOuQgAHaE8.jpeg,squirrel
../datasets/animals-dataset/raw-img/ragno/OIP--D5FeQbUWqHIGRzsaeSkuQHaE7.jpeg,spider
../datasets/animals-dataset/raw-img/pecora/OIP-mDyxFlzE51Rtkt4XMG7-2QHaGC.jpeg,sheep
../datasets/animals-dataset/raw-img/ragno/eb32b00920f1053ed1584d05fb1d4e9fe777ead218ac104497f5c97ca5ecb3b9_640.jpg,spider
../datasets/animals-dataset/raw-img/gatto/1604.jpeg,cat
../datasets/animals-dataset/raw-img/gatto/ea34b90f2af0003ed1584d05fb1d4e9fe777ead218ac104497f5c978a7ebb0bb_640.jpg,cat
../datasets/animals-dataset/raw-img/cane/OIP-rSiNn_KvPFH0qpYsvhCWewHaFZ.jpeg,dog
../datasets/animals-dataset/raw-img/ragno/OIP-ATo9X8cq2qdwK2jSP4hPLQHaF8.jpeg,spider
../datasets/animals-dataset/raw-img/farfalla/OIP-x4e6igonpr1ImnMoQG0POQHaFj.jpeg,butterfly
../datasets/animals-dataset/raw-img/farfalla/OIP-PJ_VfkrulEt9uSJbhNuhJQHaE2.jpeg,butterfly
../datasets/animals-dataset/raw-img/cane/OIP-VoML6zGu4Q2FN69vlSS5OAHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/mucca/OIP-HXlEWn2V-IUZhEDK9wYQCwHaFS.jpeg,cow
../datasets/animals-dataset/raw-img/cane/OIP-zVYNB2DMgfwtJroaOvC43AHaED.jpeg,dog
../datasets/animals-dataset/raw-img/ragno/OIP-1OD6BltjB4CSzDd0QMZGlwHaE7.jpeg,spider
../datasets/animals-dataset/raw-img/ragno/OIP-O2SUhoexJgAT4tHFqntgGQHaG6.jpeg,spider
../datasets/animals-dataset/raw-img/farfalla/ee36b5092df01c22d2524518b7444f92e37fe5d404b0144390f8c770a2e9b5_640.jpg,butterfly
../datasets/animals-dataset/raw-img/scoiattolo/OIP-Uy61KFzpSoWNNhHbP921OQHaDt.jpeg,squirrel
../datasets/animals-dataset/raw-img/ragno/OIP-2BY-VzbZ_qZ_rLlcHyFGzwHaIv.jpeg,spider
../datasets/animals-dataset/raw-img/cavallo/OIP-6b8asmvcRHHRBTIBFfPPQQHaE7.jpeg,horse
../datasets/animals-dataset/raw-img/gallina/1093.jpeg,chicken
../datasets/animals-dataset/raw-img/scoiattolo/OIP-oP9eJsCiToqPhlmndzKcXQHaFj.jpeg,squirrel
../datasets/animals-dataset/raw-img/farfalla/OIP-UdBOhdQujf2OBSDPLsBBUQAAAA.jpeg,butterfly
../datasets/animals-dataset/raw-img/farfalla/OIP-HXP6XEEKol8TJ6V8SceGggHaJ6.jpeg,butterfly
../datasets/animals-dataset/raw-img/cane/OIP-KxY6V3MKqTIKP-_tPMBQ8wHaGG.jpeg,dog
../datasets/animals-dataset/raw-img/ragno/OIP-gwnyXhcDmJBDE78XWzT2qwHaFj.jpeg,spider
../datasets/animals-dataset/raw-img/ragno/OIP-2b8dIktc6MPhfg0okn_VcAHaE8.jpeg,spider
../datasets/animals-dataset/raw-img/cane/OIP-vm1CwfplaAapLNuzXBQD1gHaJ4.jpeg,dog
../datasets/animals-dataset/raw-img/cavallo/OIP-e0dp-sqGSj36vS1be8GONgHaEo.jpeg,horse
../datasets/animals-dataset/raw-img/farfalla/OIP-lEIyH3nGBljjSqczAzNEjAHaHa.jpeg,butterfly
../datasets/animals-dataset/raw-img/cane/OIP-yJYwAYCXKlGvOi47_P9GzwHaFj.jpeg,dog
../datasets/animals-dataset/raw-img/ragno/OIP-nTsX_7CzkLEvA0ubicaK4gHaJF.jpeg,spider
../datasets/animals-dataset/raw-img/ragno/OIP-BKx8686USFqs7fx8Xt0sEwHaFv.jpeg,spider
